NaN,0.31083,0.047679,0.5,0.15385,0.5,0.004386,0,0,0,NaN,0.5,0.22,0.045
1,0.29699,0.0625,0.5,1,NaN,0.15789,1,NaN,NaN,1,0.5,0.1265,0.00857
1,0.18677,0.0089285,0.5,0.15385,0.5,0,1,0,0,1,0.5,0,0
1,0.070225,0.37196,0,0.38462,NaN,0.004386,1,0,0,0,0.5,0.06,0.00375
1,NaN,0.36018,0,0.69231,0.875,0.043859,0,0,0,0,0.5,0.13,0
0,0.3609,0.19643,0.5,NaN,0.375,0.004386,1,0,0,1,0.5,0.114,0
0,0.22301,NaN,0.5,0.15385,0.5,0.017544,1,0,0,1,0.5,0.0855,NaN
1,0.38226,0.061072,0.5,1,0.375,0.004386,1,NaN,0.074627,1,0.5,0.24,0
1,0.40346,0.053571,0.5,0.15385,0.5,0,0,NaN,0,0,0,0.15,0
1,0.17293,0.035714,0.5,0.38462,NaN,0.017544,0,0,NaN,0,0.5,NaN,0
0,0.21684,0.013393,0.5,0.76923,0.375,0.020527,1,NaN,NaN,0,0.5,0.04,0
1,0.17925,0.010357,0,0.53846,0.375,NaN,0,0,0,1,0.5,0.08,0
1,0.16917,0.44643,0.5,0.38462,0.375,0.10526,1,0,0,1,0,NaN,0
1,0.057594,0.35714,0.5,0.61538,NaN,0.0057895,0,1,0.014925,0,0.5,0.06,1e-05
1,0.24692,0.017857,0.5,0.53846,0.375,0.061403,1,1,0.16418,0,0.5,NaN,NaN
NaN,0.11534,NaN,0,0.84615,0.75,0.026316,0,0,0,1,0.5,0.066,2e-05
1,0.24692,0.03875,0,0.53846,0.375,NaN,0,0,0,0,0.5,0.085,0.00179
NaN,0.13038,0.20232,0.5,NaN,0.375,0.090702,NaN,1,0.10448,0,0.5,0.0645,0.03257
1,0.23805,0.16071,0.5,0.61538,0.375,0.26316,1,1,0.029851,1,NaN,0.165,0
1,0.021354,0.25,0.5,0.69231,0.375,0.035087,0,0,0,0,0.5,0.3,0
1,NaN,0.080357,0.5,0.15385,0.5,0.017544,0,0,0,1,0.5,0.32,NaN
0,0.41233,0.23214,0.5,0.76923,0.375,0.017544,1,1,0.044776,1,0.5,0.0725,0
1,0.089023,0.35714,0,0.23077,0.875,0.029298,1,0,NaN,1,0.5,0.07,0
0,0.14541,0.028214,0,0.76923,0.375,0.052631,1,1,NaN,1,0.5,0.04,0.004
1,0.16286,0.044643,0.5,0.53846,0.375,0.008772,0,0,0,0,0.5,0.055,0
1,0.14286,0.45089,0.5,0.53846,0.375,0.004386,0,1,0.029851,NaN,0.5,0,NaN
1,0.30451,0.19643,0,0.53846,0.375,0.052631,0,0,0,1,0.5,0.03,NaN
0,NaN,0.020893,0.5,0.38462,0.375,NaN,0,0,0,0,0.5,0.13,0.01004
1,0.31203,NaN,0,0.15385,0.5,0.29825,1,1,0.10448,1,0.5,0.0975,0
1,0.31699,0.14286,0.5,0.076923,NaN,0.4386,1,0,0,1,0.5,0.092,0
1,0.17173,0.10714,0.5,0.53846,0.375,0.043859,0,1,0.014925,0,0.5,0,0.00022
1,0.2418,0.044643,0,0.23077,0.375,NaN,0,0,0,0,0.5,0.112,0
1,0.21804,0.03125,0.5,0.46154,0.375,0.033684,1,1,0.044776,1,0.5,0.198,0
1,NaN,0.098214,0.5,NaN,0,0.15789,0,0,0,0,0.5,0.08,0.00025
1,0.30571,0.23214,0.5,0.38462,0.375,0.004386,NaN,0,0,1,0.5,0.2215,0
0,0.067669,0.35714,0.5,0.61538,0.375,0.035087,0,1,0.014925,0,NaN,0.06,1e-05
0,0.22556,0.13393,0.5,0.53846,0.375,0.03807,NaN,1,0.014925,1,0.5,0.1855,0
1,0.28827,0.089286,NaN,0.38462,NaN,0.061403,0,NaN,0.029851,1,NaN,NaN,0
0,0.13158,0.39286,NaN,0.76923,0.375,0.10526,1,0,0,1,NaN,0.134,0
0,0.15534,0.017857,0.5,0.76923,0.875,0.043859,1,1,0.014925,0,0.5,0,0.00678
0,0.13654,0.081786,0.5,0.76923,0.875,0.080351,1,1,0.10448,1,0.5,0.07,0.02384
1,0.036391,0.0014285,0.5,0.53846,0.375,0.0014035,0,0,0,0,0.5,0,0
1,0.52632,0.30357,NaN,0.53846,0.875,0.4386,1,1,0.13433,NaN,0.5,0.0905,0.01655
1,0.08391,0.38982,0.5,NaN,0.5,0.020527,0,NaN,0.029851,1,0.5,0.1,7e-05
1,0.2394,0.026786,0,0.53846,NaN,0.0014035,0,0,NaN,NaN,0.5,0.12,0
1,0.28947,0.089286,0,0.61538,NaN,0.24561,0,0,0,1,0.5,0.14,0
1,0.15669,NaN,0.5,0.76923,0.375,0.16228,1,1,0.029851,1,0.5,0.26,0.02
1,0.31955,0.12054,0.5,0.53846,0.875,0.29088,0,0,0,1,0.5,NaN,0
0,0.20932,0.053571,0.5,0.46154,0.375,0.070176,1,0,0,NaN,0,NaN,0
0,0.51128,0.28571,0.5,0.53846,0.375,0.27632,1,1,NaN,1,0.5,0,0.0126
1,0.22436,0.51786,0.5,0.076923,0.375,0.004386,0,NaN,NaN,0,0.5,0,0.00286
1,0.12782,0.016429,0.5,0.23077,0.375,0.004386,0,0,0,1,0.5,0.14,0.00055
NaN,0.073985,0.17857,0.5,0.76923,0.375,0.013158,1,1,NaN,NaN,0.5,0,0.00038
1,0.086466,0.010357,0.5,0.23077,0.375,0.010176,0,0,0,0,NaN,0.14,0.00364
1,0.13278,0.35857,0.5,NaN,NaN,NaN,1,NaN,NaN,0,0.5,NaN,0.00396
1,0.15038,0.014821,0,0.53846,0.375,0.0014035,0,1,0.029851,0,0.5,0.064,NaN
NaN,NaN,0.49107,0.5,0.61538,0.375,0.20175,1,0,0,1,0.5,0.2435,0.005
1,0.35594,0.072857,0.5,0.61538,0.375,0.0014035,1,NaN,0,NaN,0.5,0.2,0.058
1,0.18421,0.035714,0.5,0.76923,0.375,0.061403,1,0,0,1,0.5,0.14,0
1,NaN,0,0.5,0.076923,0.375,0.017544,0,0,0,0,0.5,0.072,NaN
0,0.18045,0.017857,0.5,0.53846,0.875,0.030702,1,0,NaN,1,NaN,0.2455,0
1,0.093985,0.044643,0,0.23077,0.375,NaN,0,0,0,0,0.5,0.07,4e-05
1,0.40346,0.1175,0.5,0.46154,0.375,0.12281,0,0,0,1,0,0.2,0
1,0.41609,0.17857,0.5,0.76923,0.875,0.17544,NaN,1,0.089552,1,0.5,0.235,0
1,0.29955,0.044643,0.5,0.61538,0.375,0.040877,0,0,0,0,0.5,0.06,0
1,0.14782,0.016429,NaN,0.61538,0.375,0.092106,1,1,0.089552,1,0.5,0.104,0.00347
0,0.072632,0.35714,0.5,0.076923,0.375,0.014562,0,0,0,0,0.5,0.04,0.00042
NaN,0.035037,0.011964,NaN,0,0,0,NaN,1,0.014925,NaN,0.5,0.08,0.00126
1,0.1015,0.08625,0.5,0.53846,0.375,0.070176,1,1,0.16418,1,NaN,0.1,0.03
1,0.38722,0.15179,NaN,NaN,0.5,0.22807,1,1,NaN,0,0.5,0.0585,0.0121
0,0.15038,0.025357,0.5,0.61538,0.375,0.008772,0,1,0.014925,NaN,0.5,0.12,4e-05
1,0.53759,0.27089,0.5,0.15385,0.5,0.26614,NaN,1,0.22388,1,0.5,0,0.05
1,0.078948,0.0625,0,0.53846,0.375,0.08193,0,0,0,NaN,0.5,NaN,6e-05
0,0.16165,0.0625,0,0.53846,0.375,0.0057895,0,NaN,0,0,0.5,0.066,0
1,NaN,0.053571,0.5,0.076923,0.375,0.13158,0,0,0,1,NaN,NaN,0.0035
NaN,0.21429,0.071429,0.5,NaN,0.875,0.14614,1,1,0.029851,1,0.5,0.0905,0
0,0.17038,0.090714,0,NaN,0.375,0.008772,1,NaN,NaN,1,0.5,0.185,0
1,0.50496,0.23214,0.5,0.53846,0.375,0.035087,NaN,0,0,1,NaN,0,0.00228
0,0.48496,0.14286,0.5,0.30769,0.25,0,1,NaN,0,0,0.5,0.05,NaN
1,0.23308,0.46429,0.5,0.076923,0.875,0.017544,0,0,NaN,0,NaN,0.114,0
1,0.21173,0.14286,0,0.15385,0.875,0.20175,1,1,0.029851,1,0.5,0.0375,0
1,0.20556,0.44643,0.5,0.38462,NaN,0.008772,0,0,0,1,0.5,0.36,0
1,0.21053,0.020893,0,0.92308,0.375,0.008772,1,1,0.029851,0,0.5,0.13,0.005
1,0.35459,0.23214,0.5,0.46154,0.875,0.14912,1,NaN,0.1791,1,0.5,0.0465,0
0,0.20301,0.010357,0.5,0.46154,0.875,0.004386,0,NaN,0.014925,1,0.5,0.136,0.00108
0,0.57398,0.23214,0.5,0.15385,0.5,0.10825,0,0,0,1,0.5,0.0365,0
1,0.081504,0.14286,0,0.15385,0.375,0.035087,NaN,0,0,1,0.5,NaN,0.01
0,0.29955,0.013393,0.5,0.92308,0.375,0.013158,0,0,NaN,0,NaN,NaN,0.00044
0,0.077744,0.32143,NaN,0.38462,0.375,0.026316,1,1,0.029851,0,NaN,0.044,0.00591
1,0.21429,0.10714,0.5,0.61538,0.375,0.026316,0,0,0,1,NaN,0.15,0.00067
1,0.31835,NaN,0.5,1,0.875,NaN,1,1,0.089552,NaN,0.5,0,0.01
1,0.52376,NaN,0.5,NaN,NaN,NaN,1,0,0,1,0.5,0.175,0
NaN,0.63158,NaN,0.5,0.23077,0.875,0.23684,1,1,0.044776,1,0.5,0.05,NaN
1,0.11774,0.028214,0,NaN,NaN,0.023334,0,0,NaN,0,0.5,0.08,0
1,0.13414,0.026786,NaN,0.15385,0.375,0.055614,NaN,1,0.014925,1,0.5,0.2,9e-05
1,0.071429,0.071429,0.5,0.15385,0.375,NaN,1,1,0.029851,0,0.5,0.06,0.003
1,0.065113,0.19643,0.5,0.23077,0.375,0.017544,1,NaN,0,0,NaN,0.04,0
NaN,0.16286,0.023929,0.5,0.38462,0.875,NaN,1,NaN,0,0,0.5,0.2,0
0,0.34331,0.010357,0.5,0,0,0,0,1,0.14925,0,0.5,0.1,0.00018
0,0.16165,0.08625,0,0.53846,0.375,0,0,0,0,0,0.5,0.06,0
1,0.16662,0.098214,0.5,0.53846,0.375,0.078948,1,1,0.089552,0,0.5,0.092,0.006
1,0.38226,0.058036,0.5,0.53846,0.375,0.052631,1,NaN,0.14925,NaN,0.5,0.093,NaN
0,0.16917,0.39286,0,0.38462,0.375,0.15789,1,0,0,0,0.5,0.06,NaN
NaN,NaN,0.017857,0,0.69231,0.125,0.035087,0,0,0,0,0.5,0.13,0
0,0.13789,0.044643,0.5,0.76923,0.375,0.008772,0,NaN,0,1,NaN,0.06,0.00809
1,0.22812,0.013393,0.5,0.53846,0.375,0.010176,0,0,0,0,0.5,0.11,0.0014
1,0.51759,0.27232,0.5,NaN,0.875,0.54386,1,1,0.1791,0,0.5,0,0.0079
1,0.37098,0.025178,0.5,0.53846,0.375,0.013158,0,1,0.029851,0,0.5,0.1125,0.005
0,0.22436,NaN,0.5,0.53846,0.375,0.08772,1,1,0.074627,1,0.5,0.15,0.0143
0,0.42857,0.0625,0,0.53846,0.375,0,0,0,0,1,0.5,0.075,1e-05
1,0.16045,0.071429,0.5,NaN,0.125,0.0057895,0,1,0.029851,0,0.5,0.16,0.013
1,0.16541,0.019286,0.5,0.46154,0.375,0.035087,0,0,NaN,1,0.5,0.06,1e-05
0,0.48617,0.10714,0.5,0.53846,0.375,0.083334,1,1,NaN,1,0.5,0.198,0.04159
0,0.11023,NaN,0,NaN,0,0,0,NaN,0,0,0.5,0,0
1,0.23564,0.044643,0.5,0.61538,0.375,0.061403,NaN,0,0,NaN,0.5,0.1,0
1,NaN,0.16964,0.5,0.46154,0.375,0.070176,0,1,0.014925,1,0.5,0.23,0.00068
1,0,NaN,0,0.61538,0.375,0.061403,1,1,0.029851,NaN,0.5,0.06,0.01
1,0.51008,NaN,0.5,0.53846,0.5,NaN,1,1,0.29851,0,0.5,0,0.15
1,NaN,0.089286,0.5,0.53846,0.375,0.035087,0,0,0,0,0.5,0.23,0.00016
1,0.26316,0.10125,0.5,0,0,0,0,1,0.074627,0,0.5,0.088,0.00146
1,0.30707,0.3275,0.5,0.53846,0.375,0.15789,1,1,0.1791,1,0.5,0,0.00221
1,0.066466,0.36607,0.5,0.53846,0.875,0.03807,0,0,0,0,0.5,0.16,0.00013
1,NaN,0.089286,0.5,NaN,0.375,0.15789,1,1,0.10448,0,0.5,0.075,0.0127
0,0.13158,NaN,0.5,0.15385,0.375,0.011755,0,0,0,1,0,0.072,0
1,0.1191,0.041607,0,0.23077,0.375,0.08772,1,1,0.014925,0,0.5,0.09,0.0002
1,0.076391,0.014821,NaN,0.53846,NaN,0.0057895,0,1,0.014925,0,NaN,0.1,NaN
