0.71007,0.21932,NaN,NaN,0.59432,0.297335,NaN,NaN,0.483855,0.33029,0.43757,0.3623,NaN,0.40019,0.37676,0.44053,0.36391
NaN,NaN,0.5295,NaN,NaN,1,NaN,1,0.38511,1,NaN,NaN,0.541495,1,0.42903,1,0.462805
0,0,1,0,1,NaN,1,1,0,1,NaN,NaN,NaN,0,0,0,NaN
NaN,0,NaN,0.5,NaN,0.5,0.5,0,0,0,0,NaN,1,1,0.5,0.5,0.5
0.569195,1,NaN,1,0.483035,0.07857,1,NaN,0.92857,1,1,1,NaN,NaN,NaN,1,0
0.42623,NaN,0.41412,0.836065,0.516395,NaN,0.35246,0.65574,0.32787,NaN,0.398375,0.663935,0.483605,0.639345,0.27869,0.7459,0.467215
NaN,NaN,1,NaN,1,1,0,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,1,NaN
NaN,0.5,NaN,NaN,NaN,0.81015,0.601505,NaN,NaN,NaN,0,1,NaN,0.5,NaN,0.5,0.5
1,1,0,1,NaN,1,NaN,1,NaN,NaN,1,1,NaN,1,1,1,NaN
0.140245,NaN,0,0.5,NaN,0.5,NaN,NaN,NaN,1,NaN,0.5,0.5,0.5,0.5,0.5,NaN
0.878925,0.3295,0.828735,0.259005,NaN,0.19885,0.70498,0.20383,0.628735,0.18481,0.54409,NaN,0.46092,0.22567,NaN,0.28544,0.34023
0.34294,0.149185,NaN,0.33823,NaN,NaN,0.02914,NaN,NaN,0.870525,0.223845,0.947075,0.406375,NaN,0.601795,NaN,0.77426
0.59746,0.1391,0.475565,0.18985,0.359025,NaN,0.232685,0.367115,0.16993,0.49235,0.15147,0.61354,NaN,NaN,0.24397,0.82331,NaN
0.083515,NaN,NaN,NaN,NaN,0.76724,NaN,0.04849,0.72414,NaN,0,0,0.907865,0.5,0.5,0.5,0.5
NaN,0.1861,0.34529,0.266815,0.221975,0.417755,0.17831,NaN,NaN,NaN,0.25804,NaN,0.35081,NaN,0.452695,0.71076,NaN
0,NaN,1,NaN,0,NaN,0,1,NaN,0,NaN,1,0,0,0.338415,NaN,1
NaN,NaN,NaN,0.96335,0.54206,NaN,0.550435,0.9726,0.506805,0.96761,NaN,0.965795,0.54084,0.97033,0.499825,0.957415,0.52356
0.393845,0.80998,0.449045,0.895965,NaN,NaN,0.483015,NaN,NaN,0.870575,0.38344,NaN,NaN,NaN,0.31104,NaN,NaN
NaN,0.99155,0.440935,1,0.407405,1,0.40364,0.994855,0.389585,0.98245,NaN,0.972995,0.414385,0.98218,0.387195,0.935055,0.38352
1,1,NaN,NaN,1,1,1,1,1,1,NaN,0.5,0.5,NaN,0,NaN,0
0.75876,NaN,NaN,0.742175,0.77106,0.71273,NaN,NaN,NaN,0.63489,0.77107,0.611535,NaN,0.57156,0.74562,0.557865,0.732855
0.5,0.5,0.5,0.5,0.5,0.47436,0.467145,NaN,0.54487,NaN,0.445515,0.5625,NaN,0.51282,0.47596,0.584135,NaN
NaN,0.989505,0.508285,0.990055,NaN,0.99061,0.510495,NaN,0.496685,NaN,0.508,0.989505,NaN,0.99282,0.510495,0.99337,0.51381
NaN,0.045025,0.681,0.03873,0.5302,NaN,0.40081,0.08404,0.26547,0.174175,0.15222,0.293885,0.071375,NaN,NaN,0.550035,0.025885
NaN,0.732145,0.890875,NaN,0.5,0.5,0.5,0.867065,0.636905,0.88095,0.81746,0.5,0.5,0.5,0.5,NaN,0.5
NaN,NaN,NaN,0.50024,0.500375,NaN,0.500095,0.499985,0.50001,NaN,NaN,NaN,0.5,NaN,0.5,0.5,0.5
0.547925,NaN,0.515955,0.167845,NaN,0.26995,0.10913,0.43257,0.05959,0.598825,NaN,0.74452,0.148765,0.84943,0.26976,NaN,0.43403
0.084965,0.199345,0.22876,NaN,NaN,0.97059,0.02941,NaN,NaN,0.871925,0.54588,0,NaN,NaN,0.51307,NaN,0.258795
0.42241,0.920065,NaN,NaN,0.418395,NaN,0.457525,0.928705,0.49168,0.92066,0.491155,0.912135,0.490665,0.90317,0.490215,0.893805,0.489805
1,1,1,NaN,1,NaN,1,NaN,NaN,1,1,0,1,1,1,NaN,0.5
0.431675,0.97092,0.428365,0.997945,NaN,NaN,0.432175,0.947345,0.395745,0.945335,NaN,0.92822,0.40724,0.918885,0.399495,NaN,0.39617
NaN,0.94858,NaN,NaN,NaN,NaN,NaN,NaN,0.52305,0.971525,0.516235,0.973405,0.51241,1,0.50532,0.968085,NaN
NaN,1,1,1,0,NaN,0,1,0,1,NaN,1,NaN,0.5,NaN,1,0
NaN,NaN,0.28974,NaN,0,NaN,0,0.95007,NaN,1,0,1,0,1,0.32657,1,0.674225
0.583775,0.150115,0.45072,0.211525,0.382485,0.296815,0.308565,NaN,NaN,0.507615,0.256465,0.59515,0.309705,0.65504,0.384005,0.67286,0.45982
0.684825,0.52529,0.624515,0.624515,0.54864,0.53891,NaN,0.48753,0.64241,0.46988,0.63128,0.42607,NaN,0.453305,0.65564,0.40467,0.64397
0,0.5,0.5,0.5,0.5,1,1,NaN,1,1,0,0,NaN,0,NaN,NaN,0.5
0.5,NaN,0.5,0,1,1,1,0.5,0.5,1,0,0.5,0.5,0,0,NaN,0
NaN,0.771525,0.569535,0.82616,0.639075,0.84437,0.536425,0.75936,0.633265,0.745065,0.638435,0.73108,0.64287,NaN,0.64662,0.704105,0.64971
NaN,0.818065,NaN,0.850105,0.556775,0.840915,0.560925,0.83508,NaN,0.82079,0.56804,0.828535,NaN,0.798795,0.573485,0.787275,0.57557
0.352795,0.57598,0.35474,0.547565,NaN,NaN,0.366025,NaN,0.37438,0.49977,NaN,0.48694,NaN,NaN,0.40525,0.50668,0.363995
0.286955,NaN,0.369565,0.634785,0.558695,0.76623,0.480775,0.65652,0.43913,NaN,NaN,0.74174,0.47776,0.82174,0.373915,NaN,0.573915
0.535675,0.992755,0.49647,NaN,NaN,0.98179,0.53549,0.96637,0.540505,NaN,0.52178,NaN,NaN,0.989225,NaN,1,0.4987
0.26865,1,0.24788,NaN,0.34273,0.13068,0.686805,0.91936,0.26633,NaN,0.20935,1,0.193035,0.45183,0.602385,0.469415,0.709565
0.474715,0.947255,NaN,0.94209,0.43937,0.944535,0.440455,NaN,NaN,0.932265,0.44096,0.92768,NaN,0.91762,NaN,NaN,0.438825
0.316455,0.93671,NaN,0.968355,0.531645,1,0.62658,NaN,0.310125,NaN,0.4723,1,0.468355,0.765825,NaN,0.91772,0.48734
0.35323,1,0.032005,1,1,1,1,1,0.29556,1,0.186275,1,NaN,NaN,0,1,0
0.5,0,0,0.5,0.5,NaN,0.5,0,0,1,NaN,1,1,0,0,0.5,0.5
0,1,NaN,0.125,1,NaN,0,NaN,0,NaN,0,NaN,0,NaN,NaN,1,0
1,1,1,0.87234,1,0.948235,NaN,0.82314,1,NaN,1,NaN,NaN,0.41315,NaN,NaN,NaN
0.42857,1,NaN,NaN,0.357145,1,0.5,0.642855,0.357145,1,0.524455,1,0.52591,NaN,0.785715,NaN,NaN
NaN,0.73321,NaN,0.82787,0.57396,0.916045,0.72761,0.735075,0.58209,0.746545,0.57315,0.662315,NaN,0.69559,0.567605,0.672055,0.563775
0.81105,NaN,0.727675,0.09072,NaN,NaN,NaN,NaN,0.36822,0.162215,NaN,NaN,0.19571,0.34744,NaN,0.40344,0.122015
0.51336,NaN,NaN,1,NaN,0.94565,NaN,NaN,0.333335,1,0.57971,0.688405,0.490265,NaN,0.61232,1,0.687045
1,1,NaN,1,NaN,1,0,NaN,1,NaN,NaN,1,1,NaN,1,1,0
NaN,0.91792,0.421835,NaN,0.51864,0.99812,0.54621,1,0.493735,NaN,0.477015,0.955825,0.519425,NaN,0.43139,0.982615,NaN
0.410685,NaN,NaN,0.37043,0.96365,0.759665,NaN,0.827465,NaN,0.96562,NaN,0.819055,0.390495,NaN,0.06323,0.38407,NaN
NaN,0.823595,NaN,0.78427,0.570785,0.78764,0.48202,0.732585,0.52472,NaN,NaN,0.7382,NaN,NaN,0.55281,NaN,NaN
NaN,0.76415,0.5,0.76415,0.537735,0.97595,NaN,1,0.896225,0.96096,0.49936,0.9717,0,NaN,NaN,0.71698,0.443395
NaN,0.859165,0.41167,NaN,0.527025,0.87838,0.56757,0.675675,0.35135,0.805155,0.389185,NaN,0.384865,0.864865,0.202705,0.756755,NaN
0.305735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.21454,1,0.36111,1,NaN,NaN,0.170325
NaN,NaN,0.52101,0.856425,0.53561,NaN,0.537885,0.831935,0.542015,0.81864,0.54148,NaN,0.508405,0.790935,0.543785,0.77665,0.544455
NaN,NaN,NaN,1,NaN,1,0.47628,0.980095,0.477365,0.99594,0.482635,NaN,0.48761,NaN,0.480725,0.9921,NaN
0.455385,0.80846,NaN,0.831165,0.537865,0.81939,0.540205,0.80077,0.463845,NaN,0.543835,0.775385,0.62846,0.766945,0.546035,NaN,0.54661
0.276465,0.26525,0.133575,0.448815,NaN,0.63192,0.11215,0.77992,0.22045,NaN,0.377835,NaN,0.547995,0.790685,NaN,0.673745,0.78828
0.5,0.5,0.5,0,0,0.5,0.5,0.649195,0.616935,NaN,NaN,0.5,0.5,0.5,0.5,0.5,0.5
0.49091,NaN,NaN,0.563635,0.745455,0.80909,0.58182,NaN,0.58182,0.70549,0.464865,0.672725,0.472725,0.563635,0.31818,0.645455,0.354545
